No. of Layers,No. of Hidden Nodes,Dropout Rate,Optimizer,Accuracy
2,64,0,SGD,
2,64,0,ADAM,
2,64,0,RMSProp,
2,64,0.2,SGD,
2,64,0.2,ADAM,
2,64,0.2,RMSProp,
2,64,0.4,SGD,
2,64,0.4,ADAM,
2,64,0.4,RMSProp,
2,64,0.6,SGD,
2,64,0.6,ADAM,
2,64,0.6,RMSProp,
2,256,0,SGD,
2,256,0,ADAM,
2,256,0,RMSProp,
2,256,0.2,SGD,
2,256,0.2,ADAM,
2,256,0.2,RMSProp,
2,256,0.4,SGD,
2,256,0.4,ADAM,
2,256,0.4,RMSProp,
2,256,0.6,SGD,
2,256,0.6,ADAM,
2,256,0.6,RMSProp,
2,512,0,SGD,
2,512,0,ADAM,
2,512,0,RMSProp,
2,512,0.2,SGD,
2,512,0.2,ADAM,
2,512,0.2,RMSProp,
2,512,0.4,SGD,
2,512,0.4,ADAM,
2,512,0.4,RMSProp,
2,512,0.6,SGD,
2,512,0.6,ADAM,
2,512,0.6,RMSProp,
3,64,0,SGD,
3,64,0,ADAM,
3,64,0,RMSProp,
3,64,0.2,SGD,
3,64,0.2,ADAM,
3,64,0.2,RMSProp,
3,64,0.4,SGD,
3,64,0.4,ADAM,
3,64,0.4,RMSProp,
3,64,0.6,SGD,
3,64,0.6,ADAM,
3,64,0.6,RMSProp,
3,256,0,SGD,
3,256,0,ADAM,
3,256,0,RMSProp,
3,256,0.2,SGD,
3,256,0.2,ADAM,
3,256,0.2,RMSProp,
3,256,0.4,SGD,
3,256,0.4,ADAM,
3,256,0.4,RMSProp,
3,256,0.6,SGD,
3,256,0.6,ADAM,
3,256,0.6,RMSProp,
3,512,0,SGD,
3,512,0,ADAM,
3,512,0,RMSProp,
3,512,0.2,SGD,
3,512,0.2,ADAM,
3,512,0.2,RMSProp,
3,512,0.4,SGD,
3,512,0.4,ADAM,
3,512,0.4,RMSProp,
3,512,0.6,SGD,
3,512,0.6,ADAM,
3,512,0.6,RMSProp,
4,64,0,SGD,
4,64,0,ADAM,
4,64,0,RMSProp,
4,64,0.2,SGD,
4,64,0.2,ADAM,
4,64,0.2,RMSProp,
4,64,0.4,SGD,
4,64,0.4,ADAM,
4,64,0.4,RMSProp,
4,64,0.6,SGD,
4,64,0.6,ADAM,
4,64,0.6,RMSProp,
4,256,0,SGD,
4,256,0,ADAM,
4,256,0,RMSProp,
4,256,0.2,SGD,
4,256,0.2,ADAM,
4,256,0.2,RMSProp,
4,256,0.4,SGD,
4,256,0.4,ADAM,
4,256,0.4,RMSProp,
4,256,0.6,SGD,
4,256,0.6,ADAM,
4,256,0.6,RMSProp,
4,512,0,SGD,
4,512,0,ADAM,
4,512,0,RMSProp,
4,512,0.2,SGD,
4,512,0.2,ADAM,
4,512,0.2,RMSProp,
4,512,0.4,SGD,
4,512,0.4,ADAM,
4,512,0.4,RMSProp,
4,512,0.6,SGD,
4,512,0.6,ADAM,
4,512,0.6,RMSProp,
5,64,0,SGD,
5,64,0,ADAM,
5,64,0,RMSProp,
5,64,0.2,SGD,
5,64,0.2,ADAM,
5,64,0.2,RMSProp,
5,64,0.4,SGD,
5,64,0.4,ADAM,
5,64,0.4,RMSProp,
5,64,0.6,SGD,
5,64,0.6,ADAM,
5,64,0.6,RMSProp,
5,256,0,SGD,
5,256,0,ADAM,
5,256,0,RMSProp,
5,256,0.2,SGD,
5,256,0.2,ADAM,
5,256,0.2,RMSProp,
5,256,0.4,SGD,
5,256,0.4,ADAM,
5,256,0.4,RMSProp,
5,256,0.6,SGD,
5,256,0.6,ADAM,
5,256,0.6,RMSProp,
5,512,0,SGD,
5,512,0,ADAM,
5,512,0,RMSProp,
5,512,0.2,SGD,
5,512,0.2,ADAM,
5,512,0.2,RMSProp,
5,512,0.4,SGD,
5,512,0.4,ADAM,
5,512,0.4,RMSProp,
5,512,0.6,SGD,
5,512,0.6,ADAM,
5,512,0.6,RMSProp,
